name,operator,city,state,lat,lon,coord_source,capacity_mw,mw_basis,status,notes,source_url,provenance
Project Cardinal Data Center Campus,Pioneer Development LLC,Yorkville,IL,41.7,-88.461,site coordinates via Compute Atlas (public filings),1800,"planned capacity compiled from public filings (Compute Atlas); city entitlement docs for 1,037-acre, 14-building campus",planned,Annexation/PUD before City of Yorkville,https://www.yorkville.il.us/906/Project-Cardinal-Data-Center-Campus-Anne,researched (MW via secondary tracker)
Dove Creek Data Center (Beacon),Westline TX Holdings LLC / Beacon Data Centers,San Angelo (Tom Green County),TX,31.4637723,-100.4370375,"geocoded (Google Maps): San Angelo, Texas",2410,TCEQ air permit application (reported),planned,On-site gas generation; permitting stage as of Aug 2026,https://sanangelolive.com/news/san-angelo/2026-08-10/dove-creek-data-center-has-applied-tceq-permit-heres-what-know,researched
Nebius Independence AI Factory,Nebius,Independence,MO,39.0911161,-94.4155068,"geocoded (Google Maps): Independence, Missouri",1200,reported campus capacity (2.25M sq ft per city FAQ),under construction,EastGate Commerce Center site,https://www.independencemo.gov/index%2ephp/data-center-faqs,researched (MW via secondary tracker)
Project Blue (Beale Infrastructure),Beale Infrastructure,Tucson (Pima County),AZ,32.2228765,-110.9747108,"geocoded (Google Maps): Tucson, Arizona",600,reported campus capacity,under construction,Pima County approval 2025,https://morethanjustparks.com/data-center-tracker/project-blue-beale-infrastructure-tucson-az-az--ea89199e-c036-45f3-970e-0603027f88de,researched (MW via secondary tracker)
PowerHouse 95 Campus,PowerHouse Data Centers,Spotsylvania,VA,38.1978655,-77.5876766,"geocoded (Google Maps): Spotsylvania, Virginia",800,campus capacity per company PR,under construction,145 acres on I-95 corridor; three 300MW substations; first 150MW Oct 2025,https://www.powerhousedata.com/news/powerhouse-data-centers-closes-on-site-of-800-mw-data-center-campus-in-spotsylvania-virginia,researched
Cologix Johnstown Campus,Cologix,Johnstown,OH,40.1536442,-82.6851317,"geocoded (Google Maps): Johnstown, Ohio",800,AI-ready campus capacity per company PR,announced,Central Ohio land acquisition Nov 2024,https://cologix.com/news/cologix-expands-central-ohio-footprint-with-land-acquisition-for-new-ai-ready-800mw-data-center-campus/,researched
Matrix Data Center Campus,Matrix (MSB Global Services),Sulphur Springs,TX,33.1384478,-95.6010669,"geocoded (Google Maps): Sulphur Springs, Texas",3000,campus design capacity per developer; first 400MW Q4 2026,under construction,30 x 100MW buildings planned,https://msbglobalservices.com/matrix-data-center-campus-press-kit-project-overview/,researched
Meta Beaver Dam Data Center,Meta,Beaver Dam,WI,43.4577692,-88.837329,"geocoded (Google Maps): Beaver Dam, Wisconsin",220,unredacted Alliant Energy service contract reported by WisBusiness,under construction,,https://www.wisbusiness.com/2026/new-details-revealed-for-metas-beaver-dam-data-center/,researched
Google Redhawk Mesa Campus,Google,Mesa,AZ,33.4151117,-111.8314792,"geocoded (Google Maps): Mesa, Arizona",400,planned capacity per Compute Atlas compilation; SRP committed 400MW renewables for Phase 2,operational,,https://www.compute-atlas.com/facilities/google-redhawk-mesa-az,researched (MW via secondary tracker)
Microsoft Fairwater Atlanta (QTS Fayetteville Campus),Microsoft (built by QTS),Fayetteville,GA,33.4487518,-84.4551584,"geocoded (Google Maps): Fayetteville, Georgia",636,IT power estimate per Epoch AI directory,operational,Fairwater-class AI datacenter; began operation Oct 2025,https://epoch.ai/data/ai-data-centers/directory/microsoft-fairwater-atlanta,researched (Epoch AI public research dataset)
Microsoft La Porte Data Center Campus,Microsoft,La Porte,IN,41.6105704,-86.7226857,"geocoded (Google Maps): La Porte, Indiana",540,reported announced capacity (DEPLOY registry ledger),planned,Community meetings April 2026 per Microsoft local page,https://local.microsoft.com/blog/la-porte-public-meeting-recap/,researched (MW via secondary tracker)
GW Ranch (Pacifico Energy),Pacifico Energy,Fort Stockton,TX,30.8940456,-102.8793243,"geocoded (Google Maps): Fort Stockton, Texas",5000,deliverable private-grid power per developer; TCEQ air permit up to 7.65GW generation,planned,"First power Q1 2027; gas+battery+solar, off-grid",https://www.pacificoenergy.com/gw-ranch,researched
"CyrusOne DFW10 (Thad Hill, Whitney)",CyrusOne (power: Calpine),Whitney (Bosque County),TX,31.7832145,-97.3208468,"geocoded (Google Maps): Whitney, Texas",190,190MW agreement per Calpine PR; up to 400MW deliverable to site,under construction,Operational Q4 2026 target; $1.2B phase 1,https://www.calpine.com/calpine-and-cyrusone-announce-thad-hill-energy-center-powered-land-to-support-hyperscale-data-center-development-in-texas/,researched
Project Kilby (Chevron / Microsoft),Chevron Energy Forge One (customer: Microsoft),Pecos (Reeves County),TX,31.422991,-103.4933506,"geocoded (Google Maps): Pecos, Texas",2700,reported announced capacity; 20-year Microsoft PPA per project site,planned,Behind-the-meter gas power co-located with Microsoft data center; PPA signed June 2026,https://kilby.com/project/,researched (MW via secondary tracker)
QTS Phoenix 3 Campus,QTS Data Centers,Glendale / Litchfield Park,AZ,33.5136963,-112.4304684,"geocoded (Google Maps): 17408 W Camelback Rd, Litchfield Park, AZ",750,reported permitted capacity (DEPLOY registry); campus buildings confirmed by operator,planned,"Camelback Rd campus, multiple buildings",https://q.com/data-centers/phoenix-3/,researched (MW via secondary tracker)
QTS Van Wert Campus,QTS Data Centers,Van Wert,OH,40.8694921,-84.5841255,"geocoded (Google Maps): Van Wert, Ohio",500,"reported announced capacity (DEPLOY registry); operator confirms 7-building, 902-acre campus, up to $10B",announced,Announced May 2026 with AEP partnership,https://q.com/news/city-of-van-wert-and-qts-announce-data-center-campus-in-northwest-ohio/,researched (MW via secondary tracker)
Stratos Project (O'Leary Digital),O'Leary Digital,Hansel Valley (Box Elder County),UT,41.85,-112.55,"geocoded (Google Maps): Hansel Valley, Utah",9000,"reported announced capacity (DEPLOY registry ledger); 40,000-acre project approved by Box Elder County May 2026 per Deseret News",announced,,https://www.deseret.com/utah/2026/05/12/everything-about-utah-stratos-project-data-center/,researched (MW via secondary tracker)
Fermi America HyperGrid (Project Matador),Fermi America,Carson County (Amarillo area),TX,35.4,-101.35,"geocoded (Google Maps): Carson County, Texas",11000,announced campus capacity; TCEQ air permit for on-site gas plant authorizes construction,planned,On-site generation solely for hyperscale/AI campus; TCEQ permit project 396274,https://records.tceq.texas.gov/cs/idcplg?IdcService=GET_FILE&allowInterrupt=1&dDocName=8281238&dID=9562398,researched
Project Jade (Crusoe / Tallgrass) Cheyenne,"Crusoe (developer), Tallgrass (power)",Cheyenne (Laramie County),WY,41.1399814,-104.8202462,"geocoded (Google Maps): Cheyenne, Wyoming",1800,approved initial capacity per DCD; designed to scale to 10GW,planned,Laramie County approval; near Terry Ranch Road,https://www.datacenterdynamics.com/en/news/crusoe-gets-go-ahead-for-18gw-data-center-campus-and-power-plant-in-cheyenne-wyoming/,researched
